id,department,work_hours,performance_score
152,Ward,9,54
153,ER,9,110
154,Ward,10,19
155,ER,9,73
156,ICU,8,21
157,Ward,8,5
158,ICU,9,27
159,ER,10,25
160,OPD,9,103
161,Ward,9,55
162,ER,,94
163,OPD,10,74
164,OPD,8,-9
165,ICU,8,64
166,ER,8,56
167,OPD,8,44
168,Ward,8,-5
169,Ward,8,75
170,ICU,8,49
171,OPD,8,90
172,ER,10,1
173,Ward,8,38
174,OPD,9,31
175,OPD,9,71
176,ICU,,24
177,Ward,8,56
178,Ward,9,69
179,ER,,-4
180,Ward,10,3
181,ER,10,62
182,Ward,8,55
183,ICU,8,80
184,Ward,10,119
185,ER,,9
186,ER,9,-1
187,ICU,9,14
188,Ward,8,14
189,Ward,10,43
190,ICU,8,22
191,Ward,9,84
192,Ward,9,3
193,ER,9,54
194,Ward,8,99
195,Ward,8,69
196,ICU,10,43
197,ICU,8,114
198,OPD,9,14
199,ER,8,106
200,Ward,9,14
201,Ward,9,68
202,OPD,8,57
203,Ward,9,1
204,ER,8,21
205,OPD,8,117
206,ER,,85
207,OPD,9,81
208,OPD,10,20
209,ICU,8,67
210,ER,10,9
211,Ward,10,49
212,Ward,9,82
213,ER,9,32
214,Ward,9,119
215,Ward,9,49
216,ER,,20
217,OPD,10,-6
218,ER,,-1
219,OPD,8,78
220,Ward,10,119
221,Ward,,115
222,Ward,8,0
223,ICU,8,45
224,OPD,10,72
225,ICU,9,88
226,ICU,10,62
227,ER,8,104
228,ICU,10,-4
229,ER,8,69
230,ER,8,86
231,ICU,8,-7
232,OPD,10,-7
233,OPD,10,92
234,OPD,9,29
235,OPD,9,6
236,OPD,10,90
237,ICU,9,92
238,ICU,10,113
239,Ward,9,41
240,OPD,9,41
241,ICU,9,113
242,Ward,9,52
243,OPD,10,105
244,ER,9,51
245,Ward,8,-4
246,ICU,10,81
247,ER,9,3
248,ER,9,75
249,ER,,119
250,Ward,10,51
251,ICU,8,68
252,ER,,47
253,OPD,10,109
254,ER,9,54
255,ER,8,2
256,Ward,10,71
257,Ward,10,41
258,ICU,9,106
259,OPD,10,15
260,Ward,10,23
261,ER,8,41
262,ICU,9,101
263,ER,8,71
264,ER,10,31
265,Ward,8,10
266,ICU,9,31
267,OPD,10,102
268,OPD,10,94
269,Ward,9,6
270,Ward,10,109
271,ICU,8,118
272,OPD,10,119
273,OPD,8,49
274,OPD,9,37
275,ER,10,18
276,OPD,8,86
277,ER,8,-1
278,ICU,10,47
279,ER,10,10
280,ICU,10,17
281,OPD,10,23
282,OPD,9,-3
283,ICU,8,68
284,Ward,9,76
285,ICU,8,77
286,Ward,,58
287,ER,9,76
288,ER,9,90
289,ER,9,-3
290,OPD,,66
291,ER,8,76
292,Ward,9,32
293,ER,9,118
294,ICU,10,98
295,ICU,8,6
296,OPD,10,10
297,ICU,,47
298,Ward,9,99
299,ER,10,17
300,OPD,,40
301,ER,10,-6
302,ER,8,-6
303,Ward,9,83
304,ICU,10,85
305,ICU,9,-3
306,ER,10,53
307,OPD,,27
308,ICU,,100
309,OPD,9,101
310,ICU,8,70
311,OPD,,93
312,Ward,10,62
313,OPD,8,38
314,Ward,,25
315,Ward,10,115
316,OPD,9,57
317,Ward,9,67
318,ER,9,94
319,Ward,8,111
320,ICU,9,108
321,OPD,10,103
322,ER,8,-1
323,OPD,9,80
324,ICU,9,-9
325,ICU,9,107
326,ICU,,2
327,Ward,9,84
328,Ward,9,21
329,OPD,10,21
330,OPD,9,113
331,ER,8,0
332,ER,9,-1
333,OPD,8,4
334,Ward,8,6
335,ICU,9,48
336,OPD,9,67
337,ER,,113
338,Ward,9,103
339,OPD,9,11
340,OPD,10,21
341,Ward,8,102
342,OPD,10,109
343,Ward,8,111
344,ICU,,21
345,Ward,8,108
346,Ward,9,28
347,Ward,8,1
348,OPD,,7
349,OPD,9,115
350,Ward,9,35
351,OPD,8,93
352,ER,10,75
353,ER,8,78
354,OPD,10,11
355,OPD,8,81
356,Ward,8,18
357,ICU,8,2
358,OPD,9,-9
359,ER,9,18
360,Ward,8,16
361,OPD,10,39
362,ER,9,84
363,ER,9,77
364,ICU,9,33
365,Ward,9,11
366,Ward,9,86
367,ICU,8,-8
368,ICU,8,107
369,Ward,10,8
370,Ward,,12
371,OPD,9,19
372,OPD,8,28
373,ICU,10,97
374,OPD,9,100
375,ER,8,14
376,OPD,8,117
377,OPD,10,100
378,ER,10,95
379,ICU,8,61
380,ER,8,118
381,OPD,8,97
382,ICU,10,-6
383,OPD,8,-8
384,ER,8,93
385,ER,10,53
386,OPD,8,95
387,Ward,10,87
388,Ward,8,-1
389,ER,8,117
390,ER,8,35
391,Ward,10,55
392,Ward,10,101
393,OPD,10,2
394,OPD,9,75
395,Ward,10,79
396,OPD,8,47
397,OPD,8,43
398,ICU,10,1
399,OPD,8,3
400,ER,8,110
401,OPD,8,110
402,OPD,8,9
403,Ward,8,64
404,ER,9,59
405,OPD,9,45
406,OPD,10,90
407,ICU,10,100
408,OPD,9,114
409,OPD,8,9
410,ICU,9,13
411,Ward,9,26
412,OPD,8,43
413,ICU,10,92
414,ER,9,27
415,Ward,9,-7
416,ER,9,46
417,ER,8,9
418,ICU,,6
419,OPD,10,108
420,ICU,8,60
421,ICU,10,-7
422,ICU,9,3
423,ICU,10,-8
424,Ward,10,69
425,OPD,9,44
426,ER,8,109
427,ER,8,13
428,OPD,9,71
429,ER,10,49
430,OPD,8,38
431,ER,8,52
432,ICU,10,99
433,ER,,98
434,OPD,9,65
435,OPD,8,19
436,OPD,8,47
437,OPD,8,106
438,OPD,,89
439,Ward,8,8
440,Ward,9,83
441,ER,8,102
442,OPD,9,52
443,ER,10,105
444,OPD,10,102
445,OPD,8,36
446,Ward,8,46
447,Ward,8,107
448,ICU,,34
449,Ward,10,-7
450,ICU,9,36
451,ICU,10,36
452,ICU,10,67
453,ICU,8,113
454,ICU,,64
455,ER,9,92
456,Ward,9,79
457,ICU,9,58
458,OPD,8,50
459,Ward,8,39
460,Ward,10,-8
461,ICU,8,96
462,ER,10,102
463,ICU,8,83
464,ER,9,107
465,OPD,8,70
466,Ward,9,98
467,OPD,10,40
468,ER,8,24
469,ER,9,35
470,OPD,9,58
471,ER,10,82
472,OPD,,53
473,Ward,10,38
474,OPD,8,63
475,Ward,8,-6
476,OPD,8,89
477,ER,9,59
478,OPD,8,79
479,ER,9,-7
480,OPD,9,115
481,OPD,9,28
482,ICU,10,118
483,ER,8,13
484,ICU,8,46
485,ER,10,89
486,ICU,9,59
487,Ward,10,30
488,OPD,9,49
489,ER,8,97
490,ER,10,46
491,OPD,10,20
492,ER,10,73
493,ER,8,25
494,ICU,9,97
495,ER,9,95
496,Ward,8,75
497,Ward,,3
498,OPD,8,109
499,ER,,69
500,OPD,9,95
501,Ward,8,59
502,ER,9,33
503,ER,10,62
504,OPD,10,34
505,Ward,10,96
506,ER,10,73
507,OPD,10,71
508,Ward,10,96
509,OPD,8,10
510,ICU,9,-4
511,ER,8,59
512,ICU,,116
513,Ward,,109
514,ICU,8,117
515,ICU,10,46
516,Ward,,47
517,OPD,8,10
518,ICU,9,71
519,OPD,,58
520,ICU,8,76
521,OPD,10,38
522,Ward,8,104
523,ICU,,78
524,Ward,,74
525,ICU,,117
526,Ward,9,106
527,Ward,10,116
528,ICU,10,60
529,ICU,9,75
530,ICU,10,22
531,ER,8,70
532,OPD,9,50
533,ER,8,50
534,ER,8,87
535,Ward,8,17
536,ICU,10,32
537,OPD,9,75
538,Ward,10,6
539,ER,8,87
540,ICU,9,87
541,Ward,9,54
542,ICU,10,63
543,Ward,9,74
544,ICU,10,-6
545,ER,10,-9
546,OPD,10,11
547,ER,8,101
548,OPD,8,46
549,ICU,10,55
550,Ward,8,63
551,ER,10,87
552,OPD,9,101
553,ER,,114
554,OPD,10,75
555,ER,,65
556,OPD,9,77
557,OPD,10,27
558,ICU,9,48
559,OPD,9,88
560,ICU,10,52
561,OPD,10,38
562,Ward,,21
563,Ward,10,10
564,Ward,9,9
565,OPD,9,116
566,ICU,10,57
567,ICU,8,99
568,OPD,8,105
569,Ward,9,109
570,Ward,8,68
571,ICU,8,105
572,Ward,8,81
573,ER,8,3
574,ICU,8,114
575,Ward,,47
576,ICU,9,17
577,ER,9,15
578,ICU,10,102
579,ICU,8,55
580,ICU,,33
581,ICU,10,86
582,ER,8,31
583,OPD,9,-5
584,ICU,10,12
585,ICU,,78
586,Ward,9,112
587,ICU,10,40
588,Ward,8,0
589,OPD,,1
590,ER,8,63
591,ER,,-3
592,OPD,10,30
593,ER,10,74
594,OPD,9,61
595,OPD,8,44
596,OPD,8,36
597,ER,8,93
598,Ward,8,31
599,OPD,10,49
600,ICU,9,1
601,ER,8,119
602,OPD,,-4
603,OPD,10,69
604,ICU,,98
605,Ward,,-8
606,Ward,8,16
607,Ward,9,103
608,OPD,10,96
609,OPD,10,29
610,OPD,8,118
611,ER,10,-3
612,ICU,8,90
613,OPD,8,113
614,ICU,9,96
615,ICU,9,90
616,Ward,9,-7
617,ER,8,99
618,OPD,10,8
619,Ward,8,21
620,Ward,8,1
621,OPD,10,35
622,ICU,,108
623,Ward,10,5
624,ICU,10,118
625,ER,10,52
626,ICU,9,98
627,ER,8,108
628,ICU,9,10
629,Ward,9,2
630,Ward,8,-7
631,ER,10,91
632,OPD,9,48
633,ER,8,117
634,ER,8,16
635,ICU,10,58
636,ICU,8,14
637,ER,10,86
638,Ward,9,14
639,ICU,9,115
640,OPD,9,-2
641,ICU,10,105
642,ICU,9,49
643,OPD,10,110
644,ER,9,97
645,OPD,8,97
646,ER,10,65
647,ER,10,19
648,ER,10,10
649,OPD,10,23
650,ER,10,30
651,Ward,10,40
652,OPD,10,71
653,Ward,10,47
654,ER,10,64
655,ICU,10,12
656,ER,10,117
657,Ward,8,6
658,Ward,10,58
659,OPD,10,97
660,ICU,8,83
661,OPD,10,4
662,Ward,8,80
663,ER,9,22
664,ICU,10,114
665,ER,8,5
666,ER,10,55
667,ICU,10,36
668,OPD,9,113
669,ER,8,-10
670,Ward,8,76
671,ER,10,117
672,ICU,,56
673,ICU,10,-7
674,ICU,8,36
675,OPD,10,27
676,ER,9,10
677,OPD,10,46
678,OPD,8,106
679,ICU,10,35
680,ICU,9,28
681,OPD,,88
682,ER,9,66
683,Ward,10,104
684,OPD,,80
685,ER,8,87
686,ICU,,109
687,ICU,10,35
688,ER,8,27
689,Ward,9,89
690,ICU,10,61
691,ICU,8,24
692,ICU,9,19
693,ER,9,67
694,OPD,10,73
695,ICU,8,102
696,OPD,10,14
697,Ward,,77
698,ICU,,3
699,ICU,10,91
700,Ward,8,72
701,ICU,10,99
702,OPD,8,8
703,ER,8,17
704,OPD,9,60
705,ER,9,52
706,ER,10,62
707,OPD,10,113
708,OPD,9,108
709,OPD,8,110
710,OPD,,8
711,Ward,9,109
712,ICU,9,50
713,ER,8,19
714,OPD,10,-2
715,OPD,10,53
716,OPD,8,109
717,Ward,8,41
718,OPD,10,78
719,OPD,10,42
720,OPD,8,67
721,ICU,,30
722,Ward,8,57
723,OPD,9,-3
724,ER,,-9
725,ER,9,94
726,ER,10,114
727,Ward,9,99
728,Ward,8,75
729,ER,,109
730,OPD,9,116
731,Ward,10,5
732,ER,8,51
733,ER,8,102
734,OPD,8,1
735,ICU,10,24
736,Ward,9,0
737,OPD,10,53
738,ER,9,39
739,ER,,58
740,OPD,8,37
741,Ward,10,9
742,ICU,10,90
743,ICU,10,57
744,ER,10,24
745,Ward,10,54
746,ICU,10,-3
747,Ward,8,34
748,Ward,8,76
749,ER,,65
750,ICU,10,65
751,OPD,10,36
752,ER,9,4
753,ICU,8,94
754,ICU,8,15
755,ICU,10,41
756,ICU,9,82
757,ICU,8,10
758,Ward,9,40
759,ER,8,27
760,Ward,9,9
761,OPD,8,44
762,ICU,10,81
763,ER,9,17
764,ICU,9,-7
765,ER,8,65
766,Ward,8,56
767,ER,9,75
768,OPD,9,80
769,OPD,10,94
770,ER,8,-10
771,ER,10,61
772,ER,10,76
773,ER,10,-5
774,OPD,8,50
775,ICU,9,1
776,ER,8,-5
777,ER,8,16
778,OPD,,113
779,OPD,8,95
780,Ward,9,82
781,ER,10,98
782,Ward,10,88
783,OPD,9,24
784,OPD,8,73
785,ICU,9,45
786,ER,9,38
787,Ward,8,35
788,OPD,9,102
789,OPD,8,32
790,Ward,8,113
791,ICU,9,86
792,OPD,8,79
793,ER,9,28
794,OPD,10,74
795,ER,10,51
796,Ward,8,95
797,ER,8,96
798,Ward,8,43
799,ER,10,115
800,Ward,10,-2
801,ER,8,77
802,ICU,,26
803,ER,8,38
804,ER,9,30
805,ICU,10,6
806,OPD,10,77
807,OPD,10,10
808,ER,10,40
809,ICU,9,48
810,ER,10,30
811,Ward,8,28
812,Ward,10,0
813,ER,9,66
814,OPD,10,116
815,OPD,9,35
816,ER,10,34
817,ER,9,-10
818,Ward,10,97
819,OPD,8,8
820,ER,8,65
821,Ward,8,61
822,OPD,8,98
823,ICU,10,1
824,Ward,8,34
825,OPD,,79
826,OPD,9,92
827,Ward,8,-3
828,ICU,10,80
829,Ward,10,76
830,OPD,9,73
831,ER,9,71
832,ER,10,57
833,Ward,8,116
834,OPD,,71
835,ER,,73
836,OPD,10,102
837,Ward,8,65
838,ER,10,111
839,OPD,8,30
840,ER,8,-9
841,Ward,8,18
842,OPD,9,94
843,ER,10,40
844,Ward,10,64
845,ER,10,-1
846,ER,9,40
847,ICU,9,107
848,ICU,9,110
849,Ward,,28
850,ICU,8,17
851,Ward,10,-8
852,ICU,9,73
853,ER,9,106
854,Ward,10,-9
855,Ward,9,82
856,ER,10,83
857,Ward,,29
858,Ward,9,-9
859,ICU,8,70
860,Ward,9,1
861,OPD,,54
862,ER,8,44
863,ICU,10,34
864,ICU,10,90
865,OPD,10,51
866,ER,8,38
867,ER,10,116
868,ICU,,12
869,Ward,8,27
870,ICU,8,17
871,ER,,10
872,OPD,8,96
873,ICU,10,88
874,ER,9,108
875,ICU,8,62
876,Ward,10,111
877,ICU,9,19
878,ICU,9,97
879,ER,9,87
880,ER,9,21
881,ER,8,68
882,ICU,9,30
883,Ward,,52
884,OPD,8,12
885,OPD,10,93
886,ER,9,64
887,ER,10,37
888,ICU,8,46
889,OPD,,107
890,ER,9,89
891,Ward,8,113
892,Ward,8,23
893,ER,8,-4
894,ER,9,45
895,OPD,9,54
896,OPD,10,36
897,ICU,9,8
898,OPD,8,115
899,Ward,10,38
900,Ward,10,102
901,ER,8,27
902,OPD,8,53
903,ICU,8,58
904,Ward,10,105
905,Ward,10,54
906,ICU,9,20
907,ICU,10,102
908,Ward,10,98
909,Ward,9,58
910,ICU,10,109
911,Ward,8,77
912,ER,8,56
913,ER,8,64
914,ICU,8,34
915,OPD,9,-7
916,ICU,,96
917,ICU,8,40
918,OPD,8,39
919,OPD,9,-5
920,OPD,,48
921,ER,9,114
922,Ward,9,19
923,ER,8,111
924,Ward,8,114
925,ER,,26
926,Ward,,113
927,ER,8,90
928,OPD,,24
929,ICU,10,76
930,ER,10,7
931,Ward,9,102
932,OPD,9,18
933,ER,9,66
934,ER,10,48
935,OPD,8,115
936,ER,8,98
937,ICU,9,11
938,ER,10,57
939,ICU,8,58
940,ICU,10,38
941,OPD,,98
942,ER,8,75
943,OPD,10,42
944,ER,9,112
945,ER,10,76
946,Ward,8,31
947,ER,10,87
948,OPD,10,98
949,ICU,,40
950,ER,10,74
951,Ward,9,116
952,OPD,10,10
953,ER,10,33
954,OPD,9,92
955,Ward,8,57
956,Ward,,118
957,OPD,10,81
958,ER,10,13
959,ICU,8,114
960,Ward,10,100
961,ER,9,87
962,ER,10,6
963,ICU,8,88
964,Ward,10,71
965,Ward,,93
966,ER,8,8
967,ER,,74
968,ICU,9,-3
969,ICU,10,17
970,Ward,10,-6
971,OPD,9,90
972,Ward,10,107
973,ER,10,53
974,Ward,9,80
975,OPD,9,106
976,ICU,10,87
977,OPD,10,0
978,OPD,10,43
979,OPD,10,36
980,ICU,9,-6
981,OPD,10,9
982,OPD,8,35
983,OPD,9,1
984,ER,8,59
985,OPD,9,6
986,ICU,9,104
987,OPD,9,37
988,OPD,10,97
989,ICU,9,41
990,OPD,9,85
991,ICU,8,59
992,OPD,9,91
993,ICU,8,64
994,OPD,8,71
995,OPD,10,81
996,ER,10,-7
997,ER,10,98
998,OPD,9,37
999,OPD,9,62
1000,Ward,10,61
